03/05/2025,PAYROLL DEPOSIT T RANS. 0229,,"P30,150.00","P352,018.75"
03/09/2025,G-EXCHANGE/GCASH TRANS FER 663203,"P12,749.00",,"P339,269.75"
03/10/2025,TRANSFER TO BANK NO. 9 618 ENDS.,"P20,321.00",,"P318,948.75"
03/14/2025,TRANSFER TO BANK NO. 8 130 ENDS.,"P5,200.00",,"P313,748.75"
03/20/2025,DEBIT CARD WITHDR AWAL TRANS.NO.,"P10,860.00",,"P302,888.75"
,06981218632001,,,
03/25/2025,PAYROLL DEPOSIT T RANS. 3006,,"P28,500.15","P331,388.90"
03/30/2025,DEPOSIT FROM COUN TER T O COUNTER,,"P10,900.50","P342,289.40"
,TRANS. NO 091006,,,
04/02/2025,DEPOSIT FROM COUN TER T O COUNTER,,"P16,000.00","P358,289.40"
,TRANS. NO 091070,,,
04/05/2025,PAYROLL DEPOSIT T RANS. 7810,,"P31,591.16","P389,880.56"
04/09/2025,VISA WITHDRAWAL B ANKNE T. 80001600,"P10,750.20",,"P379,130.36"
04/16/2025,DEPOSIT FROM COUN TER T O COUNTER,,"P20,000.00","P399,130.36"
,TRANS. NO 3980005 6930,,,
04/18/2025,CLICKQ WITHDRAWAL SEVE NELEVEN 05695,"P5,800.00",,"P393,330.36"
04/20/2025,DEPOSIT FROM COUN TER T O COUNTER,,"P9,516.50","P402,846.86"
,TRANS. NO 0057638 1,,,
04/25/2025,PAYROLL DEPOSIT T RANS. 3280,,"P29,093.00","P431,939.86"
05/05/2025,PAYROLL DEPOSIT T RANS. 3620,,"P29,620.00","P461,559.86"
05/12/2025,TRANSFER FROM BAN KNET PH 09523000,"P15,305.00",,"P446,254.86"
05/15/2025,G-EXCHANGE/GCASH TRANS FER 02665,"P1,578.00",,"P447,832.86"
,VISA TRANSFER FRO M 102 75608070,,,
05/16/2025,JONAS VILLASIS 00 19,,"P29,975.00","P477,807.86"
05/18/2025,SPOTIFY 1 WEEK SU BCRIP TION 6288103,P69.00,,"P477,738.86"
05/20/2025,PAYROLL DEPOSIT T RANS. 4110,,"P30,560.00","P508,298.86"
05/30/2025,CASH-IN FROM PAY& GO 10 96305102397,,"P86,974.84","P595,273.70"
06/01/2025,OTC DEPOSITS TRAN NO. 4469130,,"P20,700.00","P615,973.70"
06/02/2025,TRANSFER TO BANK NO. 8 130 ENDS.,"P1,549.00",,"P614,424.70"
06/05/2025,PAYROLL DEPOSIT T RANS. 4220,,"P29,660.00","P644,084.70"
